"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"L85YTWIA","journalArticle","2011","Barbier, Edward B.; Hacker, Sally D.; Kennedy, Chris; Koch, Evamaria W.; Stier, Adrian C.; Silliman, Brian R.","The value of estuarine and coastal ecosystem services","Ecological Monographs","","0012-9615","10.1890/10-1510.1","http://doi.wiley.com/10.1890/10-1510.1","The global decline in estuarine and coastal ecosystems (ECEs) is affecting a number of critical beneﬁts, or ecosystem services. We review the main ecological services across a variety of ECEs, including marshes, mangroves, nearshore coral reefs, seagrass beds, and sand beaches and dunes. Where possible, we indicate estimates of the key economic values arising from these services, and discuss how the natural variability of ECEs impacts their beneﬁts, the synergistic relationships of ECEs across seascapes, and management implications. Although reliable valuation estimates are beginning to emerge for the key services of some ECEs, such as coral reefs, salt marshes, and mangroves, many of the important beneﬁts of seagrass beds and sand dunes and beaches have not been assessed properly. Even for coral reefs, marshes, and mangroves, important ecological services have yet to be valued reliably, such as cross-ecosystem nutrient transfer (coral reefs), erosion control (marshes), and pollution control (mangroves). An important issue for valuing certain ECE services, such as coastal protection and habitat–ﬁshery linkages, is that the ecological functions underlying these services vary spatially and temporally. Allowing for the connectivity between ECE habitats also may have important implications for assessing the ecological functions underlying key ecosystems services, such coastal protection, control of erosion, and habitat–ﬁshery linkages. Finally, we conclude by suggesting an action plan for protecting and/or enhancing the immediate and longer-term values of ECE services. Because the connectivity of ECEs across land–sea gradients also inﬂuences the provision of certain ecosystem services, management of the entire seascape will be necessary to preserve such synergistic effects. Other key elements of an action plan include further ecological and economic collaborative research on valuing ECE services, improving institutional and legal frameworks for management, controlling and regulating destructive economic activities, and developing ecological restoration options.","2011-05","2025-09-07 18:12:18","2025-09-07 18:12:18","2025-09-07 18:12:18","169-193","","2","81","","Ecological Monographs","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/VDD8CLIG/Barbier et al. - 2011 - The value of estuarine and coastal ecosystem services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUIMFBCK","journalArticle","2022","Baumann, Justin H.; Zhao, Lily Z.; Stier, Adrian C.; Bruno, John F.","Remoteness does not enhance coral reef resilience","Global Change Biology","","1354-1013, 1365-2486","10.1111/gcb.15904","https://onlinelibrary.wiley.com/doi/10.1111/gcb.15904","Remote coral reefs are thought to be more resilient to climate change due to their isolation from local stressors like fishing and pollution. We tested this hypothesis by measuring the relationship between local human influence and coral community resilience. Surprisingly, we found no relationship between human influence and resistance to disturbance and some evidence that areas with greater human development may recover from disturbance faster than their more isolated counterparts. Our results suggest remote coral reefs are imperiled by climate change, like so many other geographically isolated ecosystems, and are unlikely to serve as effective biodiversity arks. Only drastic and rapid cuts in greenhouse gas emissions will ensure coral survival. Our results also indicate that some reefs close to large human populations were relatively resilient. Focusing research and conservation resources on these more accessible locations has the potential to provide new insights and maximize conservation outcomes.","2022-01","2025-09-07 18:12:20","2025-09-07 18:12:20","2025-09-07 18:12:20","417-428","","2","28","","Global Change Biology","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/M5ACRMS8/Baumann et al. - 2022 - Remoteness does not enhance coral reef resilience.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPC3Y4SV","journalArticle","2016","Boucher, Doug","<i>Mutualism</i>","Integrative and Comparative Biology","","1540-7063, 1557-7023","10.1093/icb/icw071","https://academic.oup.com/icb/article-lookup/doi/10.1093/icb/icw071","","2016-08","2025-09-07 18:12:21","2025-09-07 18:12:21","2025-09-07 18:12:21","365-367","","2","56","","Integr. Comp. Biol.","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/8AZ6KYKY/Boucher - 2016 - Mutualism.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVDT9FCA","journalArticle","2009","Boyer, S.E.; White, J.S.; Stier, A.C.; Osenberg, C.W.","Effects of the fish anesthetic, clove oil (eugenol), on coral health and growth","Journal of Experimental Marine Biology and Ecology","","00220981","10.1016/j.jembe.2008.10.020","https://linkinghub.elsevier.com/retrieve/pii/S002209810800542X","","2009-02","2025-09-07 18:12:22","2025-09-07 18:12:23","2025-09-07 18:12:22","53-57","","1","369","","Journal of Experimental Marine Biology and Ecology","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/P9H6I87C/Boyer et al. - 2009 - Effects of the fish anesthetic, clove oil (eugenol), on coral health and growth.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QEDBJL8M","journalArticle","2013","Carr, Lindsey A.; Stier, Adrian C.; Fietz, Katharina; Montero, Ignacio; Gallagher, Austin J.; Bruno, John F.","Illegal shark fishing in the Galápagos Marine Reserve","Marine Policy","","0308597X","10.1016/j.marpol.2012.12.005","https://linkinghub.elsevier.com/retrieve/pii/S0308597X12002461","Illegal shark ﬁshing is thought to occur globally, including within so-called ‘‘shark sanctuaries’’, marine reserves and even inside UNESCO World Heritage sites, such as the Gala´ pagos Islands. Presumably, this is due to poor local enforcement coupled with the growing international demand (and high economic incentives) for shark and other wildlife products. Understanding illegal shark ﬁshing practices, and speciﬁcally catch composition, is important as poaching is identiﬁed as a causal factor of global declines in shark populations. Unfortunately, reliable quantitative data on illegal shark ﬁshing are scarce. Here, the catch onboard an illegal shark ﬁshing vessel seized within the borders of the Gala´ pagos Marine Reserve was documented. A total of 379 sharks from seven shark species were found onboard the vessel. A large fraction of the illegal catch was comprised of both female and juvenile sharks (64% and 89%, respectively). Despite numerous recent advances in shark conservation worldwide, this study demonstrates illegal shark ﬁshing is an ongoing concern and that stricter enforcement and legislation is urgently needed, particularly in areas of high biodiversity.","2013-05","2025-09-07 18:12:24","2025-09-07 18:12:24","2025-09-07 18:12:24","317-321","","","39","","Marine Policy","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/7WB6CXJU/Carr et al. - 2013 - Illegal shark fishing in the Galápagos Marine Reserve.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRJ6XX8C","journalArticle","2023","Csik, Samantha R.; DiFiore, Bartholomew P.; Kraskura, Krista; Hardison, Emily A.; Curtis, Joseph S.; Eliason, Erika J.; Stier, Adrian C.","The metabolic underpinnings of temperature-dependent predation in a key marine predator","Frontiers in Marine Science","","2296-7745","10.3389/fmars.2023.1072807","https://www.frontiersin.org/articles/10.3389/fmars.2023.1072807/full","Introduction               Changes in temperature can fundamentally transform how species interact, causing wholesale shifts in ecosystem dynamics and stability. Yet we still have a limited understanding of how temperature-dependence in physiology drives temperature-dependence in species-interactions. For predator-prey interactions, theory predicts that increases in temperature drive increases in metabolism and that animals respond to this increased energy expenditure by ramping up their food consumption to meet their metabolic demand. However, if consumption does not increase as rapidly with temperature as metabolism, increases in temperature can ultimately cause a reduction in consumer fitness and biomass via starvation.                                         Methods               Here we test the hypothesis that increases in temperature cause more rapid increases in metabolism than increases in consumption using the California spiny lobster (Panulirus interruptus) as a model system. We acclimated individual lobsters to temperatures they experience sacross their biogeographic range (11, 16, 21, or 26°C), then measured whether lobster consumption rates are able to meet the increased metabolic demands of rising temperatures.                                         Results and discussion               We show positive effects of temperature on metabolism and predation, but in contrast to our hypothesis, rising temperature caused lobster consumption rates to increase at a faster rate than increases in metabolic demand, suggesting that for the mid-range of temperatures, lobsters are capable of ramping up consumption rates to increase their caloric demand. However, at the extreme ends of the simulated temperatures, lobster biology broke down. At the coldest temperature, lobsters had almost no metabolic activity and at the highest temperature, 33% of lobsters died. Our results suggest that temperature plays a key role in driving the geographic range of spiny lobsters and that spatial and temporal shifts in temperature can play a critical role in driving the strength of species interactions for a key predator in temperate reef ecosystems.","2023-02-07","2025-09-07 18:12:26","2025-09-07 18:12:26","2025-09-07 18:12:26","1072807","","","10","","Front. Mar. Sci.","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/YHRA2KRE/Csik et al. - 2023 - The metabolic underpinnings of temperature-dependent predation in a key marine predator.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6QEWXF8V","journalArticle","2023","Curtis, Joseph S.; Galvan, Journ W.; Primo, Alexander; Osenberg, Craig W.; Stier, Adrian C.","3D photogrammetry improves measurement of growth and biodiversity patterns in branching corals","Coral Reefs","","0722-4028, 1432-0975","10.1007/s00338-023-02367-7","https://link.springer.com/10.1007/s00338-023-02367-7","Photogrammetry is an emerging tool that allows scientists to measure important habitat characteristics of coral reefs at multiple spatial scales. However, the ecological benefits of using photogrammetry to measure reef habitat have rarely been assessed through direct comparison to traditional methods, especially in settings where manual measurements are more feasible and affordable. Here, we applied multiple methods to measure coral colonies (Pocillopora spp.) and asked whether photogrammetric or manual observations better describe short-term colony growth and links between colony size and the biodiversity of coral-dwelling fishes and invertebrates. Using photogrammetry, we measured patterns in changes in coral volume that were otherwise obscured by high variation from manual measurements. Additionally, we found that photogrammetry-based estimates of colony skeletal volume best predicted the abundance and richness of animals living within the coral. This study highlights that photogrammetry can improve descriptions of coral colony size, growth, and associated biodiversity compared to manual measurements.","2023-06","2025-09-07 18:12:27","2025-09-07 18:12:27","2025-09-07 18:12:27","623-627","","3","42","","Coral Reefs","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/FFJ58G5W/Curtis et al. - 2023 - 3D photogrammetry improves measurement of growth and biodiversity patterns in branching corals.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WX5LH4YL","journalArticle","2021","Detmer, A. Raine; Miller, Robert J.; Reed, Daniel C.; Bell, Tom W.; Stier, Adrian C.; Moeller, Holly V.","Variation in disturbance to a foundation species structures the dynamics of a benthic reef community","Ecology","","0012-9658, 1939-9170","10.1002/ecy.3304","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecy.3304","Disturbance and foundation species can both have strong impacts on ecosystem structure and function, but studies of their interacting effects are hindered by the long life spans and slow growth of most foundation species. Here, we investigated the extent to which foundation species may mediate the impacts of disturbance on ecological communities, using the kelp forest ecosystem as a study system. Giant kelp (Macrocystis pyrifera) grows rapidly and experiences wave disturbance from winter storms. We developed and analyzed a model of the effects of variable storm regimes on giant kelp population dynamics and of the cascading effects on kelp-mediated competition between benthic community members in kelp forests. Simulations of severe storm regimes resulted in a greater abundance of understory macroalgae and a lower abundance of sessile invertebrates than did milder regimes. Both the cascading effects of periodic loss of giant kelp as well as the degree to which storms directly impacted the benthos (in the form of scouring) influenced the outcome of competition between benthic community members. The model’s qualitative predictions were consistent with empirical data from a 20-yr time series of community dynamics, suggesting that interannual variability in disturbance that affects giant kelp abundance can have strong consequences for benthic community structure. Our findings point to the value of long-term studies in elucidating the interacting effects of disturbance and foundation species.","2021-05","2025-09-07 18:12:28","2025-09-07 18:12:28","2025-09-07 18:12:28","e03304","","5","102","","Ecology","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/2SB4HI6P/Detmer et al. - 2021 - Variation in disturbance to a foundation species structures the dynamics of a benthic reef community.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8SHUVZ4","journalArticle","2022","Detmer, A. Raine; Cunning, Ross; Pfab, Ferdinand; Brown, Alexandra L.; Stier, Adrian C.; Nisbet, Roger M.; Moeller, Holly V.","Fertilization by coral-dwelling fish promotes coral growth but can exacerbate bleaching response","Journal of Theoretical Biology","","00225193","10.1016/j.jtbi.2022.111087","https://linkinghub.elsevier.com/retrieve/pii/S0022519322000856","Many corals form close associations with a diverse assortment of coral-dwelling ﬁshes and other fauna. As coral reefs around the world are increasingly threatened by mass bleaching events, it is important to understand how these biotic interactions inﬂuence corals’ susceptibility to bleaching. We used dynamic energy budget modeling to explore how nitrogen excreted by coral-dwelling ﬁsh affects the physiological performance of host corals. In our model, ﬁsh presence inﬂuenced the functioning of the coralSymbiodiniaceae symbiosis by altering nitrogen availability, and the magnitude and sign of these effects depended on environmental conditions. Although our model predicted that ﬁsh-derived nitrogen can promote coral growth, the relationship between ﬁsh presence and coral tolerance of photo-oxidative stress was non-linear. Fish excretions supported denser symbiont populations that provided protection from incident light through self-shading. However, these symbionts also used more of their photosynthetic products for their own growth, rather than sharing with the coral host, putting the coral holobiont at a higher risk of becoming carbon-limited and bleaching. The balance between the beneﬁts of increased symbiont shading and costs of reduced carbon sharing depended on environmental conditions. Thus, while there were some scenarios under which ﬁsh presence increased corals’ tolerance of light stress, ﬁsh could also exacerbate bleaching and slow or prevent subsequent recovery. We discuss how the contrast between the potentially harmful effects of ﬁsh predicted by our model and results of empirical studies may relate to key model assumptions that warrant further investigation. Overall, this study provides a foundation for future work on how coral-associated fauna inﬂuence the bioenergetics of their host corals, which in turn has implications for how these corals respond to bleaching-inducing stressors.","2022-05","2025-09-07 18:12:30","2025-09-07 18:12:30","2025-09-07 18:12:30","111087","","","541","","Journal of Theoretical Biology","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/M578LVM5/Detmer et al. - 2022 - Fertilization by coral-dwelling fish promotes coral growth but can exacerbate bleaching response.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FVABMJET","journalArticle","2023","DiFiore, Bartholomew P.; Stier, Adrian C.","Variation in body size drives spatial and temporal variation in lobster–urchin interaction strength","Journal of Animal Ecology","","0021-8790, 1365-2656","10.1111/1365-2656.13918","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2656.13918","Abstract                                                                How strongly predators and prey interact is both notoriously context dependent and difficult to measure. Yet across taxa, interaction strength is strongly related to predator size, prey size and prey density, suggesting that general cross‐taxonomic relationships could be used to predict how strongly individual species interact.                                                     Here, we ask how accurately do general size‐scaling relationships predict variation in interaction strength between specific species that vary in size and density across space and time?                                                                          To address this question, we quantified the size and density dependence of the functional response of the California spiny lobster                     Panulirus interruptus                     , foraging on a key ecosystem engineer, the purple sea urchin                     Strongylocentrotus purpuratus                     , in experimental mesocosms. Based on these results, we then estimated variation in lobster–urchin interaction strength across five sites and 9 years of observational data. Finally, we compared our experimental estimates to predictions based on general size‐scaling relationships from the literature.                                                                        Our results reveal that predator and prey body size has the greatest effect on interaction strength when prey abundance is high. Due to consistently high urchin densities in the field, our simulations suggest that body size—relative to density—accounted for up to 87% of the spatio‐temporal variation in interaction strength. However, general size‐scaling relationships failed to predict the magnitude of interactions between lobster and urchin; even the best prediction from the literature was, on average, an order of magnitude (+18.7×) different than our experimental predictions.                                                     Harvest and climate change are driving reductions in the average body size of many marine species. Anticipating how reductions in body size will alter species interactions is critical to managing marine systems in an ecosystem context. Our results highlight the extent to which differences in size‐frequency distributions can drive dramatic variation in the strength of interactions across narrow spatial and temporal scales. Furthermore, our work suggests that species‐specific estimates for the scaling of interaction strength with body size, rather than general size‐scaling relationships, are necessary to quantitatively predict how reductions in body size will alter interaction strengths.","2023-05","2025-09-07 18:12:31","2025-09-07 18:12:32","2025-09-07 18:12:31","1075-1088","","5","92","","Journal of Animal Ecology","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/F4IGLF4P/DiFiore and Stier - 2023 - Variation in body size drives spatial and temporal variation in lobster–urchin interaction strength.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
