ID,Title,Year,Journal,Species,Image
1,"Fish services to corals: a review of how coral-associated fishes benefit corals",2025,"Coral Reefs","Coral-associated fishes including damselfishes (Dascyllus marginatus, Dascyllus aruanus, Chromis viridis), grunts (Haemulidae), gobies, snappers, and their coral hosts including Acropora cervicornis, Stylophora pistillata, and Pocillopora sp.","chromis-acropora.jpeg"
2,"Coral guard crabs",2024,"Current Biology","Trapeziidae family crabs (over 20 species), Pocillopora corals, crown-of-thorns sea stars (Acanthaster planci), pincushion stars (Culcita novaeguineae)","trapezia-coral-crab-hiding.jpg"
3,"How fishes and invertebrates impact coral resilience",2024,"Current Biology","Trapeziidae family crabs and their coral hosts (primarily Pocillopora genus)","trapezia-coral-crab-red-spotted.jpg"
4,"The metabolic underpinnings of temperature-dependent predation in a key marine predator",2023,"Frontiers in Marine Science","California spiny lobster (Panulirus interruptus)","spiny-lobsters-group-reef-hideout.jpeg"
5,"3D photogrammetry improves measurement of growth and biodiversity patterns in branching corals",2023,"Coral Reefs","Pocillopora coral colonies","cauliflower-coral-damselfish-reef.jpeg"
6,"Variation in body size drives spatial and temporal variation in lobster–urchin interaction strength",2023,"Journal of Animal Ecology","Lobsters and sea urchins","lobster-in-underwater-trap-cage.jpeg"
7,"Material legacies can degrade resilience: Structure‐retaining disturbances promote regime shifts on coral reefs",2023,"Ecology","Coral reef ecosystems, corals, macroalgae","bleach-coral.jpeg"
8,"Cascading benefits of mutualists' predators on foundation species: A model inspired by coral reef ecosystems",2023,"Ecosphere","Pocillopora corals; hawkfish (Paracirrhites arcatus); yellow-tailed damselfish (Dascyllus flavicaudus); longface emperor (Lethrinus olivaceus)","Hawkf_Tetralia_rubridactyla.jpg"
9,"Remoteness does not enhance coral reef resilience",2022,"Global Change Biology","Coral reef communities","tropical-island-split-view-coral-reef-shark.jpeg"
10,"Fertilization by coral-dwelling fish promotes coral growth but can exacerbate bleaching response",2022,"Journal of Theoretical Biology","Scleractinian corals and coral-dwelling fish, particularly damselfish","damselfish-pair-pink-coral.jpeg"
11,"Glimmers of hope in large carnivore recoveries",2022,"Scientific Reports","Large carnivores; Marine mammals; Sharks; Rays; Terrestrial mammals","CheetahFam-1.jpg"
12,"Increasing spillover enhances southern California spiny lobster catch along marine reserve borders",2022,"Ecosphere","California spiny lobster (Panulirus interruptus)","lobster.jpeg"
13,"Detrital supply suppresses deforestation to maintain healthy kelp forest ecosystems",2022,"Ecology","Giant kelp (Macrocystis pyrifera); Red sea urchin (Mesocentrotus franciscanus); Purple sea urchin (Strongylocentrotus purpuratus)","kelp_canopy.jpg"
14,"How much city is too much city? Biodiversity and ecosystem functioning along an urban gradient at the interface of land and sea",2022,"Frontiers in Marine Science","Epibenthic invertebrate families, Pacific salmon (Oncorhynchus spp.)","seattle-urban-coastline.jpeg"
