title,authors,year,doi,pdf link ,plain_summary,why_it_matters,theme_tags,audience_level,featured,open_access,data_code_links,policy_relevance,press_links,image_url,alt_text,impact_tags,citation_count,funders,region_system,methods_tags,source_url,journal,journal_abbrev,volume,issue,pages,publisher,abstract,keywords,issn,doi_url,citation_apa,study_type,sdg_tags,collaborators,lab_project,notes
CALIFORNIA OCEAN PROTECTION COUNCIL,"Dawson, Cyndi; Handelman, Tova; Esgro, Michael",,,,,,,,,,,,,,,,,,,,http://dev.cakex.org/sites/default/files/CA%20Sea%20Level%20Rise%20Report.pdf,,,,,,,"This paper was prepared as the result of work funded by the California Energy Commission, the California Environmental Protection Agency, Metropolitan Transportation Commission, California Department of Transportation, and the California Ocean Protection Council (collectively “the funding agencies”). It does not necessarily represent the views of the funding agencies, their respective officers, agents and employees, or the State of California. The funding agencies, the State of California, and their respective officers, employees, agents, contractors, and subcontractors make no warrant, express or implied, and assume no responsibility or liability for the results of any actions taken or other information developed based on this paper; nor does any party represent that the uses of this information will not infringe upon privately owned rights. This paper is being made available for informational purposes only and has not been approved or disapproved by the funding agencies, nor have the funding agencies passed upon the accuracy, currency, completeness, or adequacy of the information in this paper. Users of this paper agree by their use to hold blameless each of the funding agencies for any liability associated with its use in any form. This work shall not be used to assess actual coastal hazards, insurance requirements or property values, and specifically shall not be used in lieu of Flood Insurance Studies and Flood Insurance Rate Maps issued by the Federal Emergency Management Agency (FEMA). FI AL P AP ER",Commission; Agency (philosophy); Business; Work (physics); Liability; Property insurance,,,"Cyndi, D., Tova, H., Michael, E. (nan). CALIFORNIA OCEAN PROTECTION COUNCIL.",,,,,
Fish services to corals: a review of how coral-associated fishes benefit corals,"Stier, Adrian C.; Chase, Tory J.; Osenberg, Craig W.",2025,10.1007/s00338-025-02647-4,https://drive.google.com/open?id=1s57zCfPWOFHnLOLfWo1SQEt5WvTKN-wY&usp=drive_fs,,,Coral,Research,,FALSE,,,,,,,1,Directorate for Geosciences,,,https://link.springer.com/content/pdf/10.1007/s00338-025-02647-4.pdf,Coral Reefs,Coral Reefs,44,3,825-834,Springer Science and Business Media LLC,,Coral; Fishery; Cnidaria; Coelenterata; Fish <Actinopterygii>; Aquaculture of coral,0722-4028,https://doi.org/10.1007/s00338-025-02647-4,"C., S. A., J., C. T., W., O. C. (2025.0). Fish services to corals: a review of how coral-associated fishes benefit corals. Coral Reefs, 44(3), 825-834. https://doi.org/10.1007/s00338-025-02647-4",,,,,
Coral guard crabs,"Stier, Adrian C.; Osenberg, Craig W.",2024,10.1016/j.cub.2023.10.067,https://drive.google.com/open?id=1To0L_2GipgvHlqLfXexs6iY1wzU6Lgf5&usp=drive_fs,,,Coral,Policy,,FALSE,,,,,,,3,NSF,,,https://api.elsevier.com/content/article/PII:S0960982223014902?httpAccept=text/xml,Current Biology,Current Biology,34,1,R5-R7,Elsevier BV,,Coral; Fishery; Guard (computer science); Decapoda; Coast guard; Biology,0960-9822,https://doi.org/10.1016/j.cub.2023.10.067,"C., S. A., W., O. C. (2024.0). Coral guard crabs. Current Biology, 34(1), R5-R7. https://doi.org/10.1016/j.cub.2023.10.067",,,,,
How fishes and invertebrates impact coral resilience,"Stier, Adrian C.; Osenberg, Craig W.",2024,10.1016/j.cub.2024.05.071,https://drive.google.com/open?id=1_ZhkTPhOsBwk9A2eGL-KiRbatUNEx5Fd&usp=drive_fs,,,Coral,Policy,,FALSE,,,,,,,4,National Science Foundation,,photogrammetry,https://api.elsevier.com/content/article/PII:S0960982224007486?httpAccept=text/xml,Current Biology,Current Biology,34,13,R613-R615,Elsevier BV,,Coral reef; Resilience of coral reefs; Coral; Reef; Biology; Aquaculture of coral,0960-9822,https://doi.org/10.1016/j.cub.2024.05.071,"C., S. A., W., O. C. (2024.0). How fishes and invertebrates impact coral resilience. Current Biology, 34(13), R613-R615. https://doi.org/10.1016/j.cub.2024.05.071",,,,,
The metabolic underpinnings of temperature-dependent predation in a key marine predator,"Csik, Samantha R.; DiFiore, Bartholomew P.; Kraskura, Krista; Hardison, Emily A.; Curtis, Joseph S.; Eliason, Erika J.; Stier, Adrian C.",2023,10.3389/fmars.2023.1072807,https://drive.google.com/open?id=1-cHREoQ0iNe5KmNjBuIkVCkd_ue_TggN&authuser=astier@ucsb.edu&usp=drive_fs,"Introduction Changes in temperature can fundamentally transform how species interact, causing wholesale shifts in ecosystem dynamics and stability. Yet we still have a limited understanding of how temperature-dependence in physiology drives temperature-dependence in species-interactions. For predator-prey interactions, theory predicts that increases in temperature drive increases in metabolism and that animals respond to this increased energy expenditure by ramping up their food consumption to meet their metabolic demand.",,,Policy,,TRUE,,,,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/1072807/fmars-10-1072807-HTML/image_m/fmars-10-1072807-g001.jpg,Frontiers | The metabolic underpinnings of temperature-dependent predation in a key marine predator,,8,,,Bayesian models,https://doi.org/10.3389/fmars.2023.1072807,Frontiers in Marine Science,Front. Mar. Sci.,10,,,Frontiers Media SA,"IntroductionChanges in temperature can fundamentally transform how species interact, causing wholesale shifts in ecosystem dynamics and stability. Yet we still have a limited understanding of how temperature-dependence in physiology drives temperature-dependence in species-interactions. For predator-prey interactions, theory predicts that increases in temperature drive increases in metabolism and that animals respond to this increased energy expenditure by ramping up their food consumption to meet their metabolic demand. However, if consumption does not increase as rapidly with temperature as metabolism, increases in temperature can ultimately cause a reduction in consumer fitness and biomass via starvation.MethodsHere we test the hypothesis that increases in temperature cause more rapid increases in metabolism than increases in consumption using the California spiny lobster (Panulirus interruptus) as a model system. We acclimated individual lobsters to temperatures they experience sacross their biogeographic range (11, 16, 21, or 26°C), then measured whether lobster consumption rates are able to meet the increased metabolic demands of rising temperatures.Results and discussionWe show positive effects of temperature on metabolism and predation, but in contrast to our hypothesis, rising temperature caused lobster consumption rates to increase at a faster rate than increases in metabolic demand, suggesting that for the mid-range of temperatures, lobsters are capable of ramping up consumption rates to increase their caloric demand. However, at the extreme ends of the simulated temperatures, lobster biology broke down. At the coldest temperature, lobsters had almost no metabolic activity and at the highest temperature, 33% of lobsters died. Our results suggest that temperature plays a key role in driving the geographic range of spiny lobsters and that spatial and temporal shifts in temperature can play a critical role in driving the strength of species interactions for a key predator in temperate reef ecosystems.",Predation; Predator; Bioenergetics; Biology; Ecology; Range (aeronautics),2296-7745,https://doi.org/10.3389/fmars.2023.1072807,"R., C. S., P., D. B., Krista, K., A., H. E., S., C. J., J., E. E., C., S. A. (2023.0). The metabolic underpinnings of temperature-dependent predation in a key marine predator. Frontiers in Marine Science, 10. https://doi.org/10.3389/fmars.2023.1072807",,,,,
3D photogrammetry improves measurement of growth and biodiversity patterns in branching corals,"Curtis, Joseph S.; Galvan, Journ W.; Primo, Alexander; Osenberg, Craig W.; Stier, Adrian C.",2023,10.1007/s00338-023-02367-7,https://drive.google.com/file/d/1FHoXPnZ2CGCEzsN6XrIhf87Pd4pYAHvc/view?usp=share_link,,,Coral,Research,,FALSE,,,,,,,10,Division of Ocean Sciences,,photogrammetry,https://link.springer.com/content/pdf/10.1007/s00338-023-02367-7.pdf,Coral Reefs,Coral Reefs,42,3,623-627,Springer Science and Business Media LLC,,Photogrammetry; Coral; Coral reef; Biodiversity; Reef; Ecology,0722-4028,https://doi.org/10.1007/s00338-023-02367-7,"S., C. J., W., G. J., Alexander, P., W., O. C., C., S. A. (2023.0). 3D photogrammetry improves measurement of growth and biodiversity patterns in branching corals. Coral Reefs, 42(3), 623-627. https://doi.org/10.1007/s00338-023-02367-7",,,,,
Variation in body size drives spatial and temporal variation in lobster–urchin interaction strength,"DiFiore, Bartholomew P.; Stier, Adrian C.",2023,10.1111/1365-2656.13918,https://drive.google.com/file/d/1K9NuYufF_rB-h6ROnkDEZ86oln9BTbIM/view?usp=share_link,"Abstract How strongly predators and prey interact is both notoriously context dependent and difficult to measure. Yet across taxa, interaction strength is strongly related to predator size, prey size and prey density, suggesting that general cross‐taxonomic relationships could be used to predict how strongly individual species interact. Here, we ask how accurately do general size‐scaling relationships predict variation in interaction strength between specific species that vary in size and density across space and time?",,,Research,,FALSE,,,,,,,9,"California Sea Grant, University of California, San Diego; National Science Foundation; University of California",,PCoA; Mesocosm,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2656.13918,Journal of Animal Ecology,Journal of Animal Ecology,92,5,1075-1088,Wiley,"Abstract


How strongly predators and prey interact is both notoriously context dependent and difficult to measure. Yet across taxa, interaction strength is strongly related to predator size, prey size and prey density, suggesting that general cross‐taxonomic relationships could be used to predict how strongly individual species interact.

Here, we ask how accurately do general size‐scaling relationships predict variation in interaction strength between specific species that vary in size and density across space and time?

To address this question, we quantified the size and density dependence of the functional response of the California spiny lobster Panulirus interruptus, foraging on a key ecosystem engineer, the purple sea urchin Strongylocentrotus purpuratus, in experimental mesocosms. Based on these results, we then estimated variation in lobster–urchin interaction strength across five sites and 9 years of observational data. Finally, we compared our experimental estimates to predictions based on general size‐scaling relationships from the literature.

Our results reveal that predator and prey body size has the greatest effect on interaction strength when prey abundance is high. Due to consistently high urchin densities in the field, our simulations suggest that body size—relative to density—accounted for up to 87% of the spatio‐temporal variation in interaction strength. However, general size‐scaling relationships failed to predict the magnitude of interactions between lobster and urchin; even the best prediction from the literature was, on average, an order of magnitude (+18.7×) different than our experimental predictions.

Harvest and climate change are driving reductions in the average body size of many marine species. Anticipating how reductions in body size will alter species interactions is critical to managing marine systems in an ecosystem context. Our results highlight the extent to which differences in size‐frequency distributions can drive dramatic variation in the strength of interactions across narrow spatial and temporal scales. Furthermore, our work suggests that species‐specific estimates for the scaling of interaction strength with body size, rather than general size‐scaling relationships, are necessary to quantitatively predict how reductions in body size will alter interaction strengths.",Predation; Strongylocentrotus purpuratus; Allometry; Ecology; Foraging; Sea urchin,0021-8790,https://doi.org/10.1111/1365-2656.13918,"P., D. B., C., S. A. (2023.0). Variation in body size drives spatial and temporal variation in lobster–urchin interaction strength. Journal of Animal Ecology, 92(5), 1075-1088. https://doi.org/10.1111/1365-2656.13918",,,,,
Material legacies can degrade resilience: Structure‐retaining disturbances promote regime shifts on coral reefs,"Kopecky, Kai L.; Stier, Adrian C.; Schmitt, Russell J.; Holbrook, Sally J.; Moeller, Holly V.",2023,10.1002/ecy.4006,https://drive.google.com/open?id=1BtbzNUQ6W8m1CT-3Jo6zO9JEydrlDl9e&authuser=astier@ucsb.edu&usp=drive_fs,"Abstract Standing dead structures of habitat‐forming organisms (e.g., dead trees, coral skeletons, oyster shells) killed by a disturbance are material legacies that can affect ecosystem recovery processes. Many ecosystems are subject to different types of disturbance that either remove biogenic structures or leave them intact. Here we used a mathematical model to quantify how the resilience of coral reef ecosystems may be differentially affected following structure‐removing and structure‐retaining disturbance events, focusing in particular on the potential for regime shifts from coral to macroalgae.",,Coral,,,TRUE,,,,,,,13,National Science Foundation; Simons Foundation,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecy.4006,Ecology,Ecology,104,4,,Wiley,"AbstractStanding dead structures of habitat‐forming organisms (e.g., dead trees, coral skeletons, oyster shells) killed by a disturbance are material legacies that can affect ecosystem recovery processes. Many ecosystems are subject to different types of disturbance that either remove biogenic structures or leave them intact. Here we used a mathematical model to quantify how the resilience of coral reef ecosystems may be differentially affected following structure‐removing and structure‐retaining disturbance events, focusing in particular on the potential for regime shifts from coral to macroalgae. We found that dead coral skeletons could substantially diminish coral resilience if they provided macroalgae refuge from herbivory, a key feedback associated with the recovery of coral populations. Our model shows that the material legacy of dead skeletons broadens the range of herbivore biomass over which coral and macroalgae states are bistable. Hence, material legacies can alter resilience by modifying the underlying relationship between a system driver (herbivory) and a state variable (coral cover).",Coral; Resilience of coral reefs; Coral reef; Disturbance (geology); Ecology; Ecosystem,0012-9658,https://doi.org/10.1002/ecy.4006,"L., K. K., C., S. A., J., S. R., J., H. S., V., M. H. (2023.0). Material legacies can degrade resilience: Structure‐retaining disturbances promote regime shifts on coral reefs. Ecology, 104(4). https://doi.org/10.1002/ecy.4006",,,,,
Cascading benefits of mutualists' predators on foundation species: A model inspired by coral reef ecosystems,"Moeller, Holly V.; Nisbet, Roger M.; Stier, Adrian C.",2023,10.1002/ecs2.4382,https://drive.google.com/open?authuser=astier%40ucsb.edu&id=1KjyXlLHc1Zq4DfqZ_7vxhFBtNJsUWmDd&usp=drive_fs,"Abstract Multispecies mutualisms are embedded in a network of interactions that include predation, yet the effects of predation on mutualism function have not been well integrated into mutualism theory. Where predators have been considered, the common prediction is that predators reduce mutualist abundance and, as a consequence, decrease service provision. Here, we use a mathematical model of a predatory fish that consumes two competing coral mutualists to show that predators can also have indirect positive effects on hosts when they preferentially consume competitively dominant mutualists that are also lower in quality.",,Coral; Mutualisms; Methods/Models,,,TRUE,,,,,,,3,National Science Foundation,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecs2.4382,Ecosphere,Ecosphere,14,1,,Wiley,"AbstractMultispecies mutualisms are embedded in a network of interactions that include predation, yet the effects of predation on mutualism function have not been well integrated into mutualism theory. Where predators have been considered, the common prediction is that predators reduce mutualist abundance and, as a consequence, decrease service provision. Here, we use a mathematical model of a predatory fish that consumes two competing coral mutualists to show that predators can also have indirect positive effects on hosts when they preferentially consume competitively dominant mutualists that are also lower in quality. In these cases, predation reverses the outcome of competition, allowing the higher quality mutualist to dominate and enhancing host performance. The direction and strength of predator effects depend on asymmetries in mutualist competition, service provision, and predation vulnerability. Our findings suggest that when the strength of predation shifts (e.g., due to exploitative harvest of top predators, introduction of new species, or range shifts in response to climate change), mutualist communities will exhibit dynamic responses with nonmonotonic effects on host service provision.",Predation; Mutualism (biology); Ecology; Biology; Predator; Competition (biology),2150-8925,https://doi.org/10.1002/ecs2.4382,"V., M. H., M., N. R., C., S. A. (2023.0). Cascading benefits of mutualists' predators on foundation species: A model inspired by coral reef ecosystems. Ecosphere, 14(1). https://doi.org/10.1002/ecs2.4382",,,,,
Remoteness does not enhance coral reef resilience,"Baumann, Justin H.; Zhao, Lily Z.; Stier, Adrian C.; Bruno, John F.",2022,10.1111/gcb.15904,https://drive.google.com/open?authuser=astier%40ucsb.edu&id=1D46ynLQw4LAcMqAtk86PalpNZ70ytJLE&usp=drive_fs,"Abstract Remote coral reefs are thought to be more resilient to climate change due to their isolation from local stressors like fishing and pollution. We tested this hypothesis by measuring the relationship between local human influence and coral community resilience. Surprisingly, we found no relationship between human influence and resistance to disturbance and some evidence that areas with greater human development may recover from disturbance faster than their more isolated counterparts.",,Coral,,,TRUE,,,,,,,24,National Institute of General Medical Sciences; National Science Foundation; University of North Carolina at Chapel Hill,,,https://www.ncbi.nlm.nih.gov/pmc/articles/8671335,Global Change Biology,Global Change Biology,28,2,417-428,Wiley,"AbstractRemote coral reefs are thought to be more resilient to climate change due to their isolation from local stressors like fishing and pollution. We tested this hypothesis by measuring the relationship between local human influence and coral community resilience. Surprisingly, we found no relationship between human influence and resistance to disturbance and some evidence that areas with greater human development may recover from disturbance faster than their more isolated counterparts. Our results suggest remote coral reefs are imperiled by climate change, like so many other geographically isolated ecosystems, and are unlikely to serve as effective biodiversity arks. Only drastic and rapid cuts in greenhouse gas emissions will ensure coral survival. Our results also indicate that some reefs close to large human populations were relatively resilient. Focusing research and conservation resources on these more accessible locations has the potential to provide new insights and maximize conservation outcomes.",Coral reef; Resilience of coral reefs; Reef; Disturbance (geology); Climate change; Coral bleaching,1354-1013,https://doi.org/10.1111/gcb.15904,"H., B. J., Z., Z. L., C., S. A., F., B. J. (2022.0). Remoteness does not enhance coral reef resilience. Global Change Biology, 28(2), 417-428. https://doi.org/10.1111/gcb.15904",,,,,
