filename,category,primary_subject,description,colors,mood,suggested_use,species_identified,location_type,quality_notes
"A group of Scuba Diving students have a lesson in shallow crystal clear water of a Tropical Island.jpeg",diving,scuba diving lesson,"Group of scuba students in shallow turquoise tropical water learning diving basics","turquoise,blue,sandy bottom","educational,calm,inviting","hero image,diving section,education page,about us",humans,"tropical island,shallow water","clear water,good lighting"
"A group of red coral fish is moving over the reef. Natural aquarium, marine fauna of the Indian Ocean..jpeg",fish,anthias school,"School of orange/red anthias fish swimming over coral reef","orange,red,coral,blue","vibrant,active,natural","coral reef section,fish gallery,marine life","anthias fish",coral reef,"vivid colors,excellent composition"
"Adult Garibaldi damselfish (Hypsypops rubicundus) in rocky reef.jpeg",fish,garibaldi,"Bright orange Garibaldi damselfish against rocky reef background","orange,gray,brown","bold,striking","California species,kelp forest section,fish gallery","Garibaldi (Hypsypops rubicundus)",rocky reef California,"excellent subject isolation"
"Arete indicus - ML.jpg",crustacean,shrimp/crab,"Scientific specimen photo of Arete indicus crustacean","neutral,specimen","scientific,documentary","research section,species identification","Arete indicus",lab/specimen,"scientific documentation"
"California sheepshead.jpeg",fish,California sheephead,"Male California sheephead with distinctive black head and red body in kelp","black,red,pink,kelp green","strong,distinctive","California species,kelp forest,fish profile","California sheephead (Semicossyphus pulcher)",kelp forest,"excellent portrait"
"CheetahFam-1.jpg",terrestrial,cheetah family,"Cheetah family group on African savanna - NOT OCEAN RELATED","golden,tan,spotted","wild,majestic","NOT for ocean site - terrestrial wildlife",cheetahs,African savanna,"good quality but wrong theme"
"Child snorkeling in Great Barrier Reef Queensland Australia.jpeg",snorkeling,child snorkeling,"Young child snorkeling over colorful coral reef in clear water","turquoise,coral colors,blue","joyful,adventurous,family-friendly","family engagement,outreach,education,hero","human child",Great Barrier Reef,"excellent for family appeal"
"Close up view of hard coral polys Raja Ampat Indonesia.jpeg",coral,coral polyps macro,"Extreme closeup of hard coral polyps showing intricate detail","coral colors,organic","detailed,scientific,beautiful","coral biology,research,macro gallery",hard coral polyps,Raja Ampat Indonesia,"excellent macro detail"
"Close-up of a group of Crown-of-Thorns starfish (Acanthaster planci) with red and blue spines on branching coral, surrounded by healthy and bleached coral.jpeg",invertebrate,crown-of-thorns starfish,"Crown-of-thorns starfish on coral showing both healthy and bleached coral","red,blue,white,brown","concerning,educational","threats section,coral predation,conservation","Crown-of-thorns starfish (Acanthaster planci)",coral reef,"shows reef health contrast"
"Closeup shot of a California spiny lobster.jpeg",crustacean,spiny lobster,"Close portrait of California spiny lobster showing antennae and detail","red,orange,brown","detailed,characterful","California species,invertebrates,fisheries","California spiny lobster",rocky reef,"excellent detail"
"Coral Crab - Gurard Crab (Trapezia serenei) Hiding in Coral Feeding at Night.jpeg",crustacean,coral guard crab,"Guard crab hiding in coral branches at night","red,coral,dark","intimate,nocturnal","symbiosis research,crab gallery,night diving","Trapezia serenei guard crab",coral branches,"good night photography"
"Coral crab, Trapezia rufopunctata, hiding between branches of hard coral. Kritimati Island, Kribati..jpeg",crustacean,coral guard crab,"Red-spotted coral crab nestled in hard coral branches","red spotted,coral tan","hidden,symbiotic","crab-coral symbiosis,research,macro","Trapezia rufopunctata",Kiritimati Island,"excellent symbiosis shot"
"Coral reef South Pacific, Bali.jpeg",reef,coral reef wide,"Wide view of healthy South Pacific coral reef ecosystem","blue,coral colors,diverse","healthy,diverse,vast","hero image,reef health,conservation success",various corals and fish,South Pacific/Bali,"good reef overview"
"Coral reef.jpeg",reef,coral reef,"Vibrant coral reef with soft and hard corals","colorful,blue,pink,orange","vibrant,healthy","general reef imagery,backgrounds",mixed coral species,tropical reef,"colorful composition"
"Couple of divers. Hands reaching out to one another, almost touching. Rangiroa, French Polynesia..jpeg",diving,divers connection,"Two divers reaching toward each other underwater - artistic shot","blue,silhouette","romantic,artistic,connection","about us,team,diving culture,partnership",humans,Rangiroa French Polynesia,"artistic,emotional"
"Critically Endangered Elkhorn Coral Being Farmed.jpeg",coral,elkhorn coral restoration,"Elkhorn coral fragments in restoration/farming setup","tan,coral,aquaculture","hopeful,scientific,conservation","restoration section,coral farming,success stories","Elkhorn coral (Acropora palmata)",coral nursery,"shows active conservation"
"Diver with Spiny Lobster.jpeg",diving,diver with lobster,"Scuba diver underwater holding/showing spiny lobster","blue,diver,red lobster","interactive,fieldwork","research methods,fieldwork,diving",human + spiny lobster,underwater,"good action shot"
"Emily.jpg",portrait,team member Emily,"Woman in straw hat smiling on research boat at sea","blue water,natural","friendly,professional,fieldwork","team page,about us",human - Emily,ocean/boat,"excellent candid portrait"
"Fish, coral and ocean.jpeg",reef,reef ecosystem,"General reef scene with fish and coral","blue,coral,fish colors","peaceful,natural","background,general reef imagery",various species,coral reef,"good general reef shot"
"Garibaldi in Kelp Forest.jpeg",fish,garibaldi in kelp,"Orange Garibaldi fish swimming through kelp forest","orange,green,brown kelp","California iconic,natural","kelp forest section,California,hero","Garibaldi (Hypsypops rubicundus)",California kelp forest,"excellent habitat context"
"Green Clown Goby (Gobiodon atrangulatus).jpeg",fish,clown goby,"Tiny green clown goby on coral - macro shot","green,coral","cute,tiny,detailed","macro gallery,coral fish symbiosis","Green Clown Goby (Gobiodon atrangulatus)",coral,"excellent macro"
"Grey Reef Sharks on Fakarava Atoll French Polynesia.jpeg",shark,grey reef sharks,"School of grey reef sharks swimming over reef","gray,blue","powerful,wild,impressive","shark conservation,predators,Fakarava",grey reef sharks,Fakarava Atoll,"dramatic shark scene"
"Hawkf_Tetralia_rubridactyla.jpg",crustacean,coral crab,"Tetralia rubridactyla coral crab on coral","red,white,coral","scientific,macro","research,crab species,symbiosis","Tetralia rubridactyla",coral,"scientific specimen photo"
"Hawkfish on coral.jpeg",fish,hawkfish,"Hawkfish perched on coral","red/pink,coral","alert,perched","reef fish gallery,coral inhabitants",hawkfish species,coral reef,"good fish portrait"
"Indonesia-coral-reef.jpeg",reef,Indonesian reef,"Diverse Indonesian coral reef ecosystem","colorful,blue,diverse","rich,biodiverse","Indo-Pacific section,reef diversity",various corals and fish,Indonesia,"shows biodiversity"
"Korallenkrabbe (Guard crab) in einer Steinkoralle im Roten Meer, Golf von Akaba, Dahab, Ägypten.jpeg",crustacean,coral guard crab,"Guard crab in stony coral - Red Sea Egypt","coral,crab colors","symbiotic,protective","crab-coral research,Red Sea",guard crab species,Red Sea Egypt,"good symbiosis documentation"
"Leopard-1-2.jpg",terrestrial,leopard,"Leopard in natural habitat - NOT OCEAN RELATED","spotted,golden","wild,predatory","NOT for ocean site - wrong theme",leopard,terrestrial,"wrong theme for site"
"Life in a coral - Red coral crab - Trapezia Cymodoce - Trapeziidaeplus with a fish and a shrimp inside of a coral formation macro close up.jpeg",crustacean,coral crab community,"Coral crab with fish and shrimp - showing coral community","red,coral,diverse life","community,symbiosis","symbiosis section,coral communities","Trapezia cymodoce + fish + shrimp",coral formation,"excellent community shot"
"Macro scene of Stylophora sps coral - Pocilloporidae sp..jpeg",coral,Stylophora coral macro,"Macro view of Stylophora coral showing polyp detail","purple,coral","detailed,scientific","coral species,macro,research","Stylophora sp. (Pocilloporidae)",coral reef,"excellent coral macro"
"Marbled Grouper spawning Fakarava South Pass.jpeg",fish,grouper spawning,"Marbled grouper during spawning aggregation at Fakarava","gray,marbled,blue","reproductive,rare event","spawning research,fish reproduction,Fakarava",marbled grouper,Fakarava South Pass,"rare behavior documented"
"Montipora colorful stony coral in reef aquarium tank.jpeg",coral,Montipora coral,"Colorful Montipora coral - appears to be aquarium setting","purple,orange,colorful","vibrant,cultivated","coral species,aquaculture",Montipora sp.,aquarium,"vibrant but aquarium shot"
"Mouth of a purple sea urchin, Sphaerechinus granularis, Mediterranean sea, France.jpeg",invertebrate,sea urchin mouth,"Close-up of purple sea urchin mouth/Aristotle's lantern","purple,white,detailed","scientific,macro","urchin biology,anatomy,Mediterranean","Sphaerechinus granularis",Mediterranean Sea,"excellent anatomical detail"
"Pink cauliflower coral with tropical fish (damselfish dascyllus) in shallow water, Pacific ocean, Polynesia, American Samoa.jpeg",reef,cauliflower coral with damselfish,"Pink cauliflower coral with damselfish in shallow Pacific water","pink,blue,fish","colorful,natural,healthy","coral-fish relationships,Pacific reefs","cauliflower coral + damselfish",American Samoa,"excellent habitat shot"
"Quillback rockfish (Sebastes maliger), Inhabit rocky bottoms and reefs.jpeg",fish,quillback rockfish,"Quillback rockfish in rocky reef habitat","brown,orange,mottled","camouflaged,rocky","Pacific rockfish,fish gallery","Quillback rockfish (Sebastes maliger)",rocky reef,"good species portrait"
"Red spotted Coral Crab, Trapezia rufopunctata, is a species of guard crabs in the family Trapeziidae.jpeg",crustacean,coral guard crab,"Red-spotted coral crab on coral - detailed macro","red spotted,white,coral","colorful,detailed","crab gallery,symbiosis research","Trapezia rufopunctata",coral,"vibrant macro shot"
"Scuba diving.jpeg",diving,scuba divers,"Scuba divers underwater in blue water","blue,divers","adventurous,exploration","diving section,about research methods",humans,open water,"good diving atmosphere"
"Star coral at night.jpeg",coral,star coral night,"Star coral with polyps extended at night","coral,dark,glowing","nocturnal,detailed","night diving,coral behavior,polyp feeding",star coral,reef at night,"shows coral feeding behavior"
"Stylophora colorful SPS coral in saltwater aquarium reef tank .jpeg",coral,Stylophora coral,"Colorful Stylophora SPS coral - aquarium setting","pink,purple,vibrant","cultivated,colorful","coral types,aquaculture",Stylophora sp.,aquarium,"aquarium photo"
"Underwater a shoal of small blue fish ( blue-green chromis ) with cauliflower coral, Pacific ocean, lagoon of Tahaa island, French Polynesia.jpeg",reef,chromis school with coral,"School of blue-green chromis over cauliflower coral in Tahaa lagoon","blue,turquoise,coral","peaceful,tropical,natural","Pacific reefs,fish schools,coral-fish","blue-green chromis",Tahaa French Polynesia,"excellent composition"
"Underwater coral reef.jpeg",reef,coral reef general,"General underwater coral reef scene","blue,coral colors","underwater,natural","backgrounds,general reef imagery",various,coral reef,"standard reef shot"
"Underwater photo of a purple sea urchin on a reef in California's Channel Islands. .jpeg",invertebrate,purple sea urchin,"Purple sea urchin on California reef","purple,reef colors","California marine life","California species,urchin section,Channel Islands",purple sea urchin,Channel Islands CA,"good California species shot"
"Underwater view-coralreef.jpeg",reef,coral reef view,"Underwater view of coral reef ecosystem","blue,coral,fish","immersive,natural","background,reef overview",various,coral reef,"good general shot"
adrian.png,portrait,team member Adrian,"Man in wetsuit smiling in turquoise tropical water","turquoise,blue,wetsuit black","friendly,professional,fieldwork","team page,PI portrait,about us",human - Adrian,tropical ocean,"excellent team portrait"
